Cena;Data dodania;Lokalizacja;Na sprzedaż przez;Rodzaj nieruchomości;Liczba pokoi;Liczba łazienek;Wielkość (m2);opis;Parking
687000;06/03/2020;Ursynów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;60;Sprzedam bezpośrednio nowoczesne, przestronne 2 pokojowe mieszkanie o powierzchni 59,8 m2 w świetnej lokalizacji na Kabatach.ATUTY MIESZKANIA:•	mieszkanie 2 stronne z dwoma balkonami skierowanymi na 2 strony świata (wschód – sypialnia i zachód - salon),•	wysoki standard wykończenia,•	mieszkanie w pełni wyposażone dzięki czemu możliwe wprowadzenie bez żadnych dodatkowych nakładów finansowych (w tym: lodówka, zamrażalka, piekarnik, kuchenka, expres do kawy, okap, mikrofala, pralka, TV),•	duże, bardzo pojemne i wygodne szafy w zabudowie (w przedpokoju i sypialni) oraz pełne umeblowanie jak na zdjęciach,•	wydzielone dodatkowe pomieszczenie na garderobę z oknem, w pełni umeblowane,•	mieszkanie bardzo dobrze doświetlone, przestronne i funkcjonalne,•	wysokie mieszkanie – 2,8 m,•	szerokie miejsce w garażu podziemnym korzystnie usytuowane,•	komórka lokatorska z wejściem obok mieszkania (do wykorzystania na pralnie i suszarnie),•	wewnętrzne patio dla mieszkańców z placem zabaw dla dzieci,•	kameralny blok (2 mieszkania na piętrze),•	doskonała lokalizacja w pobliżu lasu kabackiego oraz w dużej bliskości do infrastruktury (metro kabaty, przystanki autobusowe, szkoły, przedszkola, poczta, ośrodki zdrowia, sklepy i restauracje),•	dużo zieleni wokół bloku, cisza, bliskość przyrody, co wpływa na komfort życia.Do mieszkania przynależy miejsce postojowe w garażu podziemnym dodatkowo płatne 35 tys. zł oraz komórka lokatorska 5 tys. zł.Oferta BEZPOŚREDNIO OD WŁAŚCICIELA. Zapraszam do kontaktu telefonicznego. ;Garaż
599900;15/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;58;"Sprzedam słoneczne, ciche i wygodne 2-pokojowe mieszkanie o powierzchni 57,6 m2 zlokalizowane na zamkniętym osiedlu przy ul. Zawiszy 16.Mieszkanie jest rewelacyjnie skomunikowane: tylko 6 minut piechotą od stacji metra Młynów, 2 minut od przystanku tramwajowego Wawrzyszewska i pętli autobusowej Płocka/Obozowa.Mieszkanie składa się z: - dużego salonu z 15-metrowym tarasem wychodzącym na spokojną ślepo zakończoną ulicę; - jasnej kuchni, która obecnie stanowi osobne pomieszczenie, a po łatwym i szybkim demontażu odgradzającego ją regału na książki może stanowić integralną część salonu; - sypialni z balkonem wychodzącym na wewnętrzny zaciszny dziedziniec osiedlowy z zielenią i strumykiem - sporej łazienki z oknem; - przedpokoju z pojemną szafą ubraniową.Mieszkanie jest w bardzo dobrym stanie technicznym, nie wymaga żadnych nakładów. Można w nim zamieszkać od razu albo odmalować dostosowując kolorystykę ścian do własnych potrzeb.Mieszkanie jest sprzedawane z zabudową kuchenną i sprzętem AGD, istnieje możliwość pozostawienia całości umeblowania.W chwili obecnej mieszkanie jest wynajmowane i przynosi dochód, najemca ma jednomiesięczny termin wypowiedzenia umowy najmu.Do mieszkania przynależą 2 miejsca parkingowe w garażu naziemnym z osobnymi księgami wieczystymi, które są wynajęte i przynoszą dochód. Najemcy mają jednomiesięczny termin wypowiedzenia umowy najmu.Mieszkanie znajduje się na 3 piętrze 4-piętrowego budynku, klatka schodowa jest wyposażona w szeroką i nowoczesną windę cichobieżną oraz jest dostosowana do potrzeb osób niepełnosrawnych.W najbliższej okolicy znajduje się pełna infrastruktura: sklepy spożywcze, apteka, restauracja, piekarnia, kwiaciarnia, cukiernia, salon fryzjerski, Pepco, przedszkole, szkoła podstawowa i liceum ogólnokształcące, przychodnia zdrowia, bankomaty, tereny spacerowe: park Moczydło, lasek na Kole.Czynsz wynosi 685 zł z zaliczką na ciepłą i zimną wodę oraz centralne ogrzewanie.Agencjom nieruchomości dziękuję!";Garaż
520000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;2 pokoje;;47;"UWAGA ! Oferta ograniczona czasowo. Właściciel do ceny mieszkania dorzuca miejsce postojowe oraz płaci za notariusza ! Mieszkanie 2-pokojowe z oddzielną kuchnią, balkon 1,8 m2 + taras 10,5 m2, miejsce postojowe na parkingu podziemnym z dopłatą 30 000 zł. Odbiór nastąpił w 2010 roku. Mieszkanie nie wykończone ani nie umeblowane, wynajęte Generalnemu Wykonawcy (Budimex SA) gdzie prowadzone jest biuro ds gwarancji budowanych przez niego na Wilanowie inwestycji.Blok znajduje się około 75 metrów od Aleja Wilanowska i licznych przystanków.Umowa z najemcą do 31.12.2022 roku, ale istnieje możliwość wypowiedzenia umowy z miesięcznym okresem. Możliwość dowolnej aranżacji, bardzo dobra propozycja pod wynajem. Mieszkanie w okolicy miasteczka Wilanów bardzo dobrze się wynajmują.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC761243Lokalizacja: Mazowieckie, Warszawa, Wilanów, Sarmacka...Oferta opublikowana przez program Trimo";
718000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;46;"Własnościowe mieszkanie 3 pokojowe 45,5 m2 położone na ul. Meksykańskiej na Saskiej Kępie. 3 pokoje na małym metrażu pozwalają na efektywne wykorzystanie przestrzeni i stanowią przystępną opcję dla rodziny lub wynajem.Mieszkanie posiada osobną kuchnię z oknem oraz łazienkę z wanną. Dodatkowe powierzchnie to balkon oraz piwnica. Mieszkanie wyposażone jest w pralkę, kuchenkę z piekarnikiem oraz lodówkę.LokalizacjaMieszkanie znajduje się na ulicy Meksykańskiej, ok. 200 metrów od Galerii Handlowej Saska Kępa.Tuż za rogiem znajdziemy Carrefour Express, Rossman oraz aptekę. W najbliższej okolicy znajduje się mnóstwo zróżnicowanych restauracji.Przystanek autobusowy oddalony jest o mniej niż 200 metrów, dzięki czemu do samego centrum dotrzemy w 15 minut. Do Plaży na Saskiej Kępie dojdziemy w 10 minut.Liceum znajduje się 400 metrów od mieszkania, Szkoła Podstawowa 650 metrów, przedszkole 120 metrów, a żłobek poniżej 100 metrów.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC821049Lokalizacja: Mazowieckie, Warszawa, Praga Południe, Meksykańska...Oferta opublikowana przez program Trimo";
398775;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;2 pokoje;;60;"Mieszkanie własnościowe 2 pokojowe o powierzchni 59,6 m2. Mieszkanie jest ciche, ale dobrze skomunikowane - przystanek autobusowy jest tuż przy wejściu na osiedle, dzięki czemu do samego centrum dotrzemy w ok. 30 minut.Na mieszkanie składa się:-Salon z wyjściem na balkon-Sypialnia-Dodatkowo wydzielone pomieszczenie - może być połączone z salonem lub z kuchnią-Wydzielona osobna kuchnia - może być połączona z salonem-Łazienka z wanną-Miejsce w garażu podziemnym wliczone w cenęMieszkanie jest gotowe do wprowadzenia, choć warto byłoby je odświeżyć.LokalizacjaMieszkanie znajduje się na ulicy Dzieci Warszawy na Skoroszach. Tuż przy wyjściu z zamkniętego osiedla leży przystanek autobusowy obsługiwany przez linie 517, 129, 191, 207, 401, N35. Do Pałacu Kultury dotrzemy w 30 minut.Do Centrum Handlowego Skorosze dojdziemy w 10 minut pieszo, lub dojedziemy jeden przystanek autobusowy.Przy samym mieszkaniu znajdziemy sklep spożywczy do codziennych zakupów. Również tuż przy mieszkaniu znajdziemy cukiernię, pizzę, kebab, lodziarnię, naleśnikarnię, restaurację indyjską i burgery. Do Parku Achera dojdziemy w 10 minut pieszo, lub dojedziemy w 5 minut autobusem.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC581233Lokalizacja: Mazowieckie, Warszawa, Ursus, Skorosze, Dzieci Warszawy...Oferta opublikowana przez program Trimo";
369000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;3 pokoje;;76;"Mieszkanie słoneczne, cicha okolica, poddasze - gratis,Poddasze można wykorzystać do przechowywania sprzętów sportowych, walizek, pokój dziecka,nie jest wliczone w powierzchnię mieszkania.W pomieszczeniu gospodarczym znajduje się nowa wysokiej klasy pralka samsung, w kuchni marmurowy czarny blat, czarna kamienna bateria, czarny kamienny zlew.Duże pojemne szafy. W łazience radio + głośnik zainstalowane w ścianie. Okna drewniane, drzwi wewnętrzne drewniane fornirowane, drzwi wejściowe Gerda. W całym mieszkaniu na podłodze deski drewniane do 8-krotnego cyklinowania.Piękny taras około 11 m2 (kwadrat)Do mieszkania przynależy komórka wymiary ok 1,7m x 1,9m (10tys zł)oraz garaż - (25 tys zł)Czynsz - około 730 zł.W budynku jest winda. Budynek z roku 2009.W pobliżu żłobki, przedszkola, szkoły, sklepy, autobus, metro.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC643498Lokalizacja: Mazowieckie, Warszawa, Ursynów, Makolągwy...Oferta opublikowana przez program Trimo";
620000;22/04/2020;Ursynów, Warszawa;Agencja;Mieszkanie;2 pokoje;;57;"Sprzedam mieszkanie dwupokojowe w eleganckim osiedlu Olimpia. Miejsce ciche i spokojne, apartamentowiec w doskonałym stanie, z własną infrastrukturą, terenami zielonymi, ławkami, strefą wypoczynku, zabaw dla dzieci i boisk sportowych piłki siatkowej i nożnej oraz własne dwa korty tenisowe. Nieruchomość prywatna , pełna KW.Osiedle jest ogrodzone z dostępem na piloty i chipy, domofony, własna ochrona oraz monitoring. Oprócz miejsc parkingowych dla właścicieli są miejsca dla gości. Osiedle jest czyste i sprawnie zarządzane.Mieszkanie jest położone na parterze od strony wschodnio- południowej, bardzo dobrze doświetlone, ale w lato, nie przegrzane. Widok z balkonu na osiedlową zieleń. Mieszkanie nie wymaga nakładów. Układ pomieszczeń jest wygodny, gdzie duży salon doświetlają okna i wyjście na duży balkon. Sypialnia po przeciwnej stronie domu z oknem na patio. Duża łazienka z kabiną prysznicową i dużymi lustrami. Kuchnia jest samodzielna z miejscem na posiłki. W przedpokoju wbudowana szafa.Do mieszkania przynależy miejsce parkingowe w garażu do którego można dostać się windą.Powierzchnie:Kuchnia -8,5 m2 , terakota, szafki, kuchenka elektrycznaPrzedpokój -7,7 m2, terakota , wbudowana szafaŁazienka -5 m2, terakota, glazura, duże lustra, szafki, kabina prysznicowaPokój -13,8 m2, podłoga paneleSalon -21,7m2, podłoga panele(balkon) -(8,5m2), terakotaMiejsce w garażu dodatkowo płatne 30000.Budynek ocieplony z cegły, ładna beżowa elewacja, duże balkony, okna plastikowe, zamknięte wewnętrzne patio, firma ochroniarska, monitoring osiedla, domofony.Ciepła, zimna woda oraz CO olicznikowane, dzięki czemu mieszkaniec ma pełną kontrolę nad kosztami. Dostępne media to internet, światłowód, TV kablówka. Podwórka i cześć wspólna to trzy miejsca zabaw dla dzieci, tereny zielone z ławkami, miejsca parkingowe chronione także dla gości, miejsce dla psiaków, dwa korty tenisowe, boisko do piłki siatkowej i nożnej. Budynki wyposażone są w nowoczesne windy obsługujące także poziom miejsc parkingowych w garażu.Osiedle idealne dla rodzin i pracujących w Warszawie. W pobliżu przystanki autobusowe, bezpośrednia komunikacja na lotnisko Chopina w 15 minut, 800 m do metra Imielin, Urzędu dzielnicy Ursynów, blisko sklepy Żabka, Lidl, Biedronka, Auchan, OBI, Galeria Ursynów, apteki , piekarnie stacje paliw, basen, ursynowskie Centrum Sportu, Hala Arena z fitness, szkoła podstawowa, przedszkole, szpital Południowy, Las Kabacki , jeziorko i rezerwat Imieliński. W pobliżu także Multikino, pizzera i duży wybór kawiarni. Niebawem otworzą dojazd do obwodnicy Warszawy.Czynsz 490 .Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC972308Lokalizacja: Mazowieckie, Warszawa, Ursynów, Rtm. Witolda Pileckiego...Oferta opublikowana przez program Trimo";
850000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;39;"Mieszkanie usytuowane jest w wyjątkowej lokalizacji w ścisłym centrum Warszawy. Ta prestiżowa, kameralna kamienica znajduje się w pobliżu ulicy Hożej. 
 
 Ten stylowy apartament zlokalizowany jest na 1. piętrze przedwojennej kamienicy z windą,. Apartament ma 38 m2 . Składa się z salonu z aneksem kuchennym, otwartej kuchni, wydzielonej w salonie sypialni z podwójnym łóżkiem oraz łazienki z kabiną prysznicową i pralką. 
 
 Nieruchomość została wykończona w wysokim standardzie, z niezwykłą dbałością o detale. Wyposażono ją w odrestaurowane, drewniane okna, stylowe drzwi. Wysokie sufity - 3,4 m. 
 
 Wyposażenie kuchni jest nowoczesne, dobrych firm: lodówka, zmywarka, kuchenka mikrofalowa i piekarnik. Dużo szaf do przechowywania rzeczy.
 
 W kamienicy zachowało się wiele zabytkowych dekoracji schodów i elementów wewnętrznych, w tym metalowe balustrady w stylu Art Nouveau, stolarka drzwiowa i podłogi. W tej zabytkowej kamienicy mieści się 26 apartamentów i piękne, stylowo zaprojektowane patio z przeszklonym dachem. Na parterze znajduje się salon urody i restauracja. 
 
 Obszar ten tętni życiem zarówno w dzień, jak iw nocy. W bezpośrednim sąsiedztwie nieruchomości znajduje się wiele popularnych kawiarni i restauracji. Lokalizacja zapewnia również łatwy dostęp do wszystkich środków transportu publicznego (tramwaj, autobus, metro, pociąg). 
 
 Polecam, 
 Joanna Mieńko
 tel. 603 633 908
 e-mail: jmienko@komdar.pl
 
 Zobacz inne interesujące oferty publikowane jedynie na: WWW.KOMDAR.PL
 Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.Numer oferty w biurze: 24031Lokalizacja: Mazowieckie, Warszawa, Śródmieście, Poznańska...Oferta opublikowana przez program Trimo";Ulica
453500;22/04/2020;Bielany, Warszawa;Agencja;Mieszkanie;3 pokoje;;57;"Atrakcyjne i urządzone z gustem, przytulne mieszkanie 3 pokojowe na Bielanach dla pary lub rodziny z dzieckiem. Nadaje się również pod wynajem. Mogą w nim zamieszkać zarówno osoby starsze jak i niepełnosprawne, ponieważ jest winda zewnętrzna na wysoki parter do wejścia do budynku, a w środku kolejne 2 windy.Mieszkanie jest po generalnym remoncie, zaprojektowane przez architekta, skąpane w słońcu, dobrze doświetlone z ekspozycją zachodnią i pięknym widokiem z 15 piętra na Kampinoski Park Narodowy.Mieszkanie składa się z:- aneksu kuchennego z oknem, otwartego na jadalnię, świetne miejsce do spędzenia wspólnego czasu z rodziną przy posiłku lub zabawie, kuchnia wyposażona w płytę gazową, lodówkę, zmywarkę, piekarnik renomowanych firm- od wejścia otworzony przedpokój, który razem z kuchnią i jadalnią tworzą dużą jasną przestrzeń- łazienka z wanną, w której zamontowana jest szyba prysznicowa- toaleta- sypialnia dziecka- sypialnia rodziców z wyjściem na balkon- do mieszkania przynależy piwnica ok 2 m2Doskonale skomunikowane, autobusy, tramwaje, 10 min piechotą do Metra Wawrzyszew. Miejsce do parkowania pod budynkiem. Blisko sklepy, punkty usługowe, apteki, szkoły i przedszkola, jest gdzie wyjść z psem, na spacer, pobiegać.Budynek ocieplony, wymienione wszystkie instalacje. Nad mieszkaniem znajduje się nieużywany strych o wysokości 1,5 m, który daje izolację termiczną, czyli mieszkanie nie nagrzewa się za mocno latem oraz nie wychładza się zimą.Status własności to spółdzielcze prawo do lokalu z założoną KW. Można ubiegać się o kredyt.Komfortowe mieszkanie czeka właśnie na Ciebie. Zadzwoń i umów się na prezentację.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC792295Lokalizacja: Mazowieckie, Warszawa, Bielany, Sándora Petöfiego...Oferta opublikowana przez program Trimo";
560000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;3 pokoje;;77;"Słoneczne i ciche mieszkanie z doskonałą lokalizacją w Miasteczku Wilanów.Mieszkanie o powierzchni 76m2 składa się:Salonu - 22m2Kuchni - 10m2Sypialni - 15m2Garderoby - 3m2Pokoju dziecięcego - 11m2Łazienki - 5m2Przedpokoju - 8m2Spiżarni - 2m2Kuchnia posiada drewniane meble pod zabudowę oraz blat granitowy.W salonie oraz pokojach położona jest lita deska jesionowa.OTOCZENIEPołożenie osiedla przy Al. Wilanowskiej gwarantuje szybki i sprawny dojazd do centrum miasta.W pobliżu dodatkowe miejsca parkingowe.Niedaleko znajduje się przystanek komunikacji miejskiej.W bezpośrednim sąsiedztwie znajdują się sklepy, supermarkety, lokale usługowe, kawiarnie, restauracje, przychodnia zdrowia, stomatologia, banki.W pobliżu znajduje się basen, fitness, poczta, szpital.Dla aktywnych, wspaniałym rozwiązaniem są liczne ścieżki rowerowe. Okolica charakteryzuje się dobrym dojazdem do ciekawych punktów rekreacyjnych takich jak Pałac Wilanowski, Park rozrywki w Powsinie, pole golfowe na Zawadach czy tężnie solankowe w Konstancinie.BUDYNEKBudynek z 2005 roku objęty jest monitoringiem i całodobową ochroną.Budynek wyposażony jest w windę z poziomu garażu podziemnego.Na patio znajduje się dużo zieleni, piaskownica, huśtawki.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC357593Lokalizacja: Mazowieckie, Warszawa, Wilanów, Aleja Wilanowska...Oferta opublikowana przez program Trimo";
368000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;4 pokoje;;88;"Witam, mam do sprzedania piękne dwu poziomowe mieszkanie o powierzchni 88m2 . Mieszkanie znajduje się na 3 i ostatnim piętrze w w budynku z windą.Pierwszy poziom-salon + aneks kuchennypokójłazienkaprzedpokójDrugi poziom-pokójpokójłazienkagarderobaMieszkanie jest przestronne i bardzo słoneczne. Na I poziomie jest klepka dębowa, na II poziomie i schodach podłoga z egzotycznego drewna Sucupira. Wszystkie drzwi wewnętrzne są drewniane robione na zamówienia, w kuchni szafki dębowe. Mieszkanie było świeżo malowane około 2 miesiące temu. Na I poziomie jest duży balkon z wyjściem z salonu.Do mieszkania przynależy miejsce w garażu podziemnym cena 30000 zł.Na osiedlu znajdują się dwa place zabaw dla dzieci i wydzielone miejsce do grillowania z murowanym grillem.Przy osiedlu są dostępne autobusy 527, 160, 204, 132, 304, E7, E9.W niewielkiej odległości około 200 m znajdują się sklepy ( Carrefour, Olewnik (mięso, wędliny) Putka, Galeria wypieków, Żabka, Apteka, Fryzjer, Poczta, Kwiaciarnia, Sklep papierniczy, Bank, Fitness Club), w odległości około 300 m Przychodnia.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC996424Lokalizacja: Mazowieckie, Warszawa, Białołęka, Skarbka Z Gór...Oferta opublikowana przez program Trimo";
699000;22/04/2020;Białołęka, Warszawa;Agencja;Dom;6 lub więcej pokoi;;240;"Na sprzedaż do wolnostojący na Zielonej Białołęce. Dom wykończony do zamieszkania zapewne z lekkimi poprawkami pod gust przyszłych właścicieli. Ogród w pełni zadbany i przygotowany do rekreacji. Nawodnienie. Spokojna i bardzo cicha okolica. Jak na wsi. W okolicy kilku zaprzyjaźnionych sąsiadów. Dobry dojazd do centrum samochodem, możliwy również dobry dojazd komunikacją miejską. W pobliżu znajdują się sklepy, przedszkola, żłobki. Cena do negocjacji.Ogłoszenie znajduje się w ofercie biura Tekton Property i zostało sprawdzone pod względem formalno-prawnym. Dbamy o bezpieczeństwo Twojej transakcji.Podejmując współpracę z przedstawicielami Tekton Property zyskujesz:- oszczędność czasu- weryfikację dokumentów od strony formalno-prawnej- wsparcie agenta na każdym etapie transakcji- pomoc przy uzyskaniu kredytu hipotecznego w kilkunastu bankach- wgląd do umów przed zawarciem aktu notarialnego u sprawdzonych Notariuszy- własne analizy makroekonomiczne i raporty z prowadzonych działań- dostęp do cen transakcyjnych z okolicy Zespól Tekton Property tworzy rozwiązania oparte na synergii różnorodnych metod działania, wiedzy i doświadczenia.Skontaktuj się z opiekunem oferty, a on poprowadzi Cię przez wszystkie etapy transakcji.Zapraszamy do współpracy!
Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów art. 66 k.c., a przedstawione dane mają charakter informacyjny.Numer oferty w biurze: TC504284Lokalizacja: Mazowieckie, Warszawa, Białołęka, Przyrodnicza...Oferta opublikowana przez program Trimo";
